name,fieldName,description,example
Administered & Prescribed Medications,med_context,"The nature of a prescribed medication entry in the eHR. Values are: Prescription, Inpatient, Home Med, Pyxis, Other",
Administered & Prescribed Medications,IsAdmin,Indicator as to whether the record is an administered medication or a prescribed medication,
Administered & Prescribed Medications,type_order,A classification of a prescribed medication in the eHR. (2017-19 records only) See also admin_order_type.,
Administered & Prescribed Medications,order_status,"An indication of the current progress of a clinical order. Sample values: Completed, Canceled, Discontinued, Ordered",
Administered & Prescribed Medications,route,"The route ordered for a given administered medication. Sample values: intravenously, by mouth, IV Piggyback",
Administered & Prescribed Medications,dosage_units,(Unit measure dosage)The unit measure specified for the dosage of a medication ordered in the eHR. Value: Milligram,
Administered & Prescribed Medications,frequency,"The interval for which a medication is to be administered, as ordered in the eHR.  Sample values: As needed, q12hr",
Administered & Prescribed Medications,admin_med_seq,Unique value for admin meds. NOTE: these are entered in order of sequence of administration,
Administered & Prescribed Medications,admin_order_type,"A classification of an administered medication order in the eHR. Sample values: Medication, IV, PCA, Intermittent, Sliding Scale.",
Administered & Prescribed Medications,concat_labs,"The concatenated value of Ther levels 1,2 & 3.  Separated by a "":"".",
Administered & Prescribed Medications,dosage,"The dosage ordered, dispensed or administered on an eHR medication order; also dosage for prescribed mediations.  Applies to inpatient medications written through a healthcare facility, as well as prescribed outpatient/clinical encounters.",
Administered & Prescribed Medications,encounter_id,A number that uniquely identifies a visit to a healthcare facility.,
Administered & Prescribed Medications,location_key,Unique identifier of a location in the lkpLocation table.,
Administered & Prescribed Medications,location_type,Type of location where the procedure was rendered,
Administered & Prescribed Medications,med_start_ts,"The date and timestamp when service was rendered .
Has these purposes:
 1. The day of service posted to any billing transaction.
 2. The day of a clinical event captured in the eHR.
 3. The census day in hospital census reporting 4. The day a scheduling transaction is logged  (formatted as Date_Timestamp)
4. The date a prescription was written.",
Administered & Prescribed Medications,med_stop_ts,"The date and timestamp when service was stopped.
 (formatted as Date_Timestamp)",
Administered & Prescribed Medications,medication,The catalog code/generic name description of the administered or prescribed medication,
Administered & Prescribed Medications,patient_id,An ID associated with a patient. All Patient_IDs have been anonymized.,
Administered & Prescribed Medications,performing_credential,"The primary credential or medical degree of a provider performing a clinical event.  Examples: MD, NP, PA",
Administered & Prescribed Medications,request_timestamp,Date/time a prescription was submitted.,
Administered & Prescribed Medications,start_timestamp,Date/time that a medication began being taken by a patient.,
Administered & Prescribed Medications,stop_timestamp,Date/time that a medication stopped being taken by a patient.,
Administered & Prescribed Medications,strength,The strength ordered or administered of a medication as recorded in the eHR.,
Administered & Prescribed Medications,strength_units,Units of measure for Strength,
Administered & Prescribed Medications,therapeutic_cat_level1,The highest-level category in the American Hospital Formulary System (AFHS) drug classification.,
Administered & Prescribed Medications,therapeutic_cat_level2,The second level in the American Hospital Formulary System (AFHS) drug classification.,
Administered & Prescribed Medications,therapeutic_cat_level3,The third level in the American Hospital Formulary System (AFHS) drug classification. (may not be present for all medications,
Administered & Prescribed Medications,prn_orderYN,Is this a PRN order?,
